Date,"Temperature, *C","RH, %","Dew Point, *C","Temperature, *C","RH, %","Dew Point, *C"
20-12-10 23:29:46,,,,5.25,38.98,-7.57
20-12-10 23:31:46,,,,5.23,38.71,-7.68
20-12-10 23:33:46,,,,5.17,38.78,-7.72
20-12-10 23:35:46,,,,5.13,38.76,-7.75
20-12-10 23:37:46,,,,5.08,38.78,-7.79
20-12-10 23:39:46,,,,5.06,38.71,-7.84
20-12-10 23:41:46,,,,5.03,38.64,-7.89
20-12-10 23:43:46,,,,4.96,38.78,-7.90
20-12-10 23:45:46,,,,4.93,38.77,-7.93
20-12-10 23:47:46,,,,4.90,38.87,-7.93
20-12-10 23:49:46,,,,4.86,38.78,-8.00
20-12-10 23:51:46,,,,4.83,38.87,-7.99
20-12-10 23:53:46,,,,4.80,38.96,-7.99
20-12-10 23:55:46,,,,4.75,39.00,-8.02
20-12-10 23:57:46,,,,4.69,39.01,-8.07
20-12-10 23:59:46,,,,4.64,39.03,-8.11
20-12-11 00:01:46,,,,4.65,38.98,-8.12
20-12-11 00:03:46,,,,4.61,39.00,-8.15
20-12-11 00:05:46,,,,4.57,39.01,-8.18
20-12-11 00:07:46,,,,4.53,39.05,-8.20
20-12-11 00:09:46,,,,4.50,38.93,-8.27
20-12-11 00:11:46,,,,4.50,39.07,-8.22
20-12-11 00:13:46,,,,4.46,39.06,-8.26
20-12-11 00:15:46,,,,4.44,39.20,-8.23
20-12-11 00:17:46,,,,4.42,39.22,-8.25
20-12-11 00:19:46,,,,4.34,39.05,-8.37
20-12-11 00:21:46,,,,4.36,38.95,-8.39
20-12-11 00:23:46,,,,4.27,39.02,-8.45
20-12-11 00:25:46,,,,4.27,39.16,-8.40
20-12-11 00:27:46,,,,4.22,39.36,-8.38
20-12-11 00:29:46,,,,4.20,39.35,-8.40
20-12-11 00:31:46,,,,4.18,39.38,-8.41
20-12-11 00:33:46,,,,4.16,39.23,-8.48
20-12-11 00:35:46,,,,4.13,39.22,-8.51
20-12-11 00:37:46,,,,4.14,39.42,-8.43
20-12-11 00:39:46,,,,4.06,39.42,-8.50
20-12-11 00:41:46,,,,4.09,39.45,-8.46
20-12-11 00:43:46,,,,4.05,39.61,-8.45
20-12-11 00:45:46,,,,4.01,39.48,-8.53
20-12-11 00:47:46,,,,4.02,39.35,-8.56
20-12-11 00:49:46,,,,4.01,39.46,-8.54
20-12-11 00:51:46,,,,3.97,39.29,-8.63
20-12-11 00:53:46,,,,3.93,39.44,-8.61
20-12-11 00:55:46,,,,3.91,39.47,-8.62
20-12-11 00:57:46,,,,3.91,39.50,-8.61
20-12-11 00:59:46,,,,3.87,39.58,-8.62
20-12-11 01:01:46,,,,3.84,39.53,-8.67
20-12-11 01:03:46,,,,3.83,39.58,-8.66
20-12-11 01:05:46,,,,3.82,39.49,-8.70
20-12-11 01:07:46,,,,3.82,39.59,-8.67
20-12-11 01:09:46,,,,3.78,39.41,-8.75
20-12-11 01:11:46,,,,3.79,39.29,-8.79
20-12-11 01:13:46,,,,3.76,39.20,-8.84
20-12-11 01:15:46,,,,3.78,39.30,-8.79
20-12-11 01:17:46,,,,3.75,39.24,-8.84
20-12-11 01:19:46,,,,3.72,39.23,-8.87
20-12-11 01:21:46,,,,3.69,39.17,-8.92
20-12-11 01:23:46,,,,3.70,39.12,-8.93
20-12-11 01:25:46,,,,3.69,39.12,-8.94
20-12-11 01:27:46,,,,3.64,39.20,-8.95
20-12-11 01:29:46,,,,3.62,38.98,-9.04
20-12-11 01:31:46,,,,3.64,38.90,-9.05
20-12-11 01:33:46,,,,3.65,38.90,-9.04
20-12-11 01:35:46,,,,3.60,39.19,-8.99
20-12-11 01:37:46,,,,3.58,39.09,-9.05
20-12-11 01:39:46,,,,3.58,39.14,-9.03
20-12-11 01:41:46,,,,3.54,39.22,-9.04
20-12-11 01:43:46,,,,3.54,39.22,-9.04
20-12-11 01:45:46,,,,3.53,39.00,-9.12
20-12-11 01:47:46,,,,3.53,39.29,-9.03
20-12-11 01:49:46,,,,3.49,39.30,-9.05
20-12-11 01:51:46,,,,3.48,39.21,-9.09
20-12-11 01:53:46,,,,3.48,39.22,-9.09
20-12-11 01:55:46,,,,3.46,39.53,-9.01
20-12-11 01:57:46,,,,3.52,39.30,-9.03
20-12-11 01:59:46,,,,3.48,38.88,-9.20
20-12-11 02:01:46,,,,3.45,38.74,-9.27
20-12-11 02:03:46,,,,3.45,38.74,-9.27
20-12-11 02:05:46,,,,3.44,38.90,-9.23
20-12-11 02:07:46,,,,3.44,38.96,-9.21
20-12-11 02:09:46,,,,3.43,38.98,-9.21
20-12-11 02:11:46,,,,3.44,39.03,-9.19
20-12-11 02:13:46,,,,3.39,38.82,-9.30
20-12-11 02:15:46,,,,3.39,39.02,-9.24
20-12-11 02:17:46,,,,3.39,39.01,-9.24
20-12-11 02:19:46,,,,3.35,39.09,-9.25
20-12-11 02:21:46,,,,3.36,39.09,-9.24
20-12-11 02:23:46,,,,3.41,39.04,-9.21
20-12-11 02:25:46,,,,3.38,39.09,-9.23
20-12-11 02:27:46,,,,3.40,39.29,-9.14
20-12-11 02:29:46,,,,3.36,39.30,-9.17
20-12-11 02:31:46,,,,3.40,39.25,-9.16
20-12-11 02:33:46,,,,3.35,39.31,-9.17
20-12-11 02:35:46,,,,3.35,39.31,-9.17
20-12-11 02:37:46,,,,3.38,39.36,-9.14
20-12-11 02:39:46,,,,3.38,39.29,-9.16
20-12-11 02:41:46,,,,3.35,39.48,-9.12
20-12-11 02:43:46,,,,3.35,39.64,-9.07
20-12-11 02:45:46,,,,3.35,40.24,-8.88
20-12-11 02:47:46,,,,3.33,40.97,-8.67
20-12-11 02:49:46,,,,3.36,41.24,-8.55
20-12-11 02:51:46,,,,3.32,40.84,-8.72
20-12-11 02:53:46,,,,3.34,40.33,-8.86
20-12-11 02:55:46,,,,3.32,40.03,-8.97
20-12-11 02:57:46,,,,3.30,39.91,-9.03
20-12-11 02:59:46,,,,3.28,39.55,-9.17
20-12-11 03:01:46,,,,3.27,39.96,-9.04
20-12-11 03:03:46,,,,3.26,39.80,-9.10
20-12-11 03:05:46,,,,3.23,40.00,-9.07
20-12-11 03:07:46,,,,3.23,39.84,-9.12
20-12-11 03:09:46,,,,3.24,40.17,-9.01
20-12-11 03:11:46,,,,3.23,40.30,-8.97
20-12-11 03:13:46,,,,3.17,40.62,-8.92
20-12-11 03:15:46,,,,3.18,40.44,-8.97
20-12-11 03:17:46,,,,3.17,40.20,-9.05
20-12-11 03:19:46,,,,3.15,40.09,-9.11
20-12-11 03:21:46,,,,3.16,40.13,-9.09
20-12-11 03:23:46,,,,3.14,40.20,-9.08
20-12-11 03:25:46,,,,3.13,40.07,-9.14
20-12-11 03:27:46,,,,3.16,40.11,-9.09
20-12-11 03:29:46,,,,3.17,39.92,-9.14
20-12-11 03:31:46,,,,3.13,39.79,-9.22
20-12-11 03:33:46,,,,3.15,40.10,-9.10
20-12-11 03:35:46,,,,3.12,39.85,-9.21
20-12-11 03:37:46,,,,3.11,40.15,-9.13
20-12-11 03:39:46,,,,3.11,39.92,-9.20
20-12-11 03:41:46,,,,3.14,39.91,-9.18
20-12-11 03:43:46,,,,3.10,39.86,-9.23
20-12-11 03:45:46,,,,3.10,39.74,-9.27
20-12-11 03:47:46,,,,3.06,39.80,-9.28
20-12-11 03:49:46,,,,3.09,39.47,-9.37
20-12-11 03:51:46,,,,3.08,39.65,-9.32
20-12-11 03:53:46,,,,3.03,39.42,-9.43
20-12-11 03:55:46,,,,3.03,39.34,-9.45
20-12-11 03:57:46,,,,3.04,39.25,-9.47
20-12-11 03:59:46,,,,3.01,39.39,-9.46
20-12-11 04:01:46,,,,3.02,39.53,-9.40
20-12-11 04:03:46,,,,2.99,39.62,-9.40
20-12-11 04:05:46,,,,2.97,39.49,-9.46
20-12-11 04:07:46,,,,2.96,39.78,-9.38
20-12-11 04:09:46,,,,2.94,39.72,-9.42
20-12-11 04:11:46,,,,2.97,39.57,-9.44
20-12-11 04:13:46,,,,2.95,39.88,-9.36
20-12-11 04:15:46,,,,2.91,39.72,-9.44
20-12-11 04:17:46,,,,2.91,39.65,-9.46
20-12-11 04:19:46,,,,2.91,39.69,-9.45
20-12-11 04:21:46,,,,2.91,39.54,-9.50
20-12-11 04:23:46,,,,2.91,39.56,-9.49
20-12-11 04:25:46,,,,2.89,40.59,-9.18
20-12-11 04:27:46,,,,2.88,40.97,-9.07
20-12-11 04:29:46,,,,2.90,41.20,-8.98
20-12-11 04:31:46,,,,2.88,40.95,-9.08
20-12-11 04:33:46,,,,2.87,40.61,-9.19
20-12-11 04:35:46,,,,2.88,40.44,-9.24
20-12-11 04:37:46,,,,2.84,40.25,-9.34
20-12-11 04:39:46,,,,2.85,40.38,-9.29
20-12-11 04:41:46,,,,2.84,40.50,-9.26
20-12-11 04:43:46,,,,2.84,40.38,-9.30
20-12-11 04:45:46,,,,2.82,40.45,-9.29
20-12-11 04:47:46,,,,2.80,40.38,-9.34
20-12-11 04:49:46,,,,2.82,40.54,-9.27
20-12-11 04:51:46,,,,2.79,40.63,-9.27
20-12-11 04:53:46,,,,2.81,40.61,-9.26
20-12-11 04:55:46,,,,2.78,40.57,-9.30
20-12-11 04:57:46,,,,2.79,40.63,-9.27
20-12-11 04:59:46,,,,2.73,40.61,-9.32
20-12-11 05:01:46,,,,2.78,40.42,-9.34
20-12-11 05:03:46,,,,2.73,40.14,-9.47
20-12-11 05:05:46,,,,2.74,40.12,-9.47
20-12-11 05:07:46,,,,2.71,40.28,-9.44
20-12-11 05:09:46,,,,2.71,40.38,-9.41
20-12-11 05:11:46,,,,2.70,40.52,-9.38
20-12-11 05:13:46,,,,2.67,40.47,-9.42
20-12-11 05:15:46,,,,2.69,40.64,-9.35
20-12-11 05:17:46,,,,2.67,40.80,-9.32
20-12-11 05:19:46,,,,2.62,40.55,-9.44
20-12-11 05:21:46,,,,2.61,40.63,-9.42
20-12-11 05:23:46,,,,2.64,40.54,-9.43
20-12-11 05:25:46,,,,2.62,40.68,-9.40
20-12-11 05:27:46,,,,2.64,40.54,-9.43
20-12-11 05:29:46,,,,2.60,40.70,-9.41
20-12-11 05:31:46,,,,2.57,40.91,-9.37
20-12-11 05:33:46,,,,2.55,40.71,-9.46
20-12-11 05:35:46,,,,2.56,40.70,-9.45
20-12-11 05:37:46,,,,2.58,40.87,-9.38
20-12-11 05:39:46,,,,2.54,40.70,-9.47
20-12-11 05:41:46,,,,2.58,40.46,-9.50
20-12-11 05:43:46,,,,2.50,40.42,-9.59
20-12-11 05:45:46,,,,2.53,40.63,-9.50
20-12-11 05:47:46,,,,2.53,40.58,-9.52
20-12-11 05:49:46,,,,2.54,40.70,-9.47
20-12-11 05:51:46,,,,2.55,40.62,-9.48
20-12-11 05:53:46,,,,2.53,40.67,-9.49
20-12-11 05:55:46,,,,2.53,40.60,-9.51
20-12-11 05:57:46,,,,2.51,40.49,-9.56
20-12-11 05:59:46,,,,2.52,40.55,-9.54
20-12-11 06:01:46,,,,2.52,40.47,-9.56
20-12-11 06:03:46,,,,2.49,40.31,-9.64
20-12-11 06:05:46,,,,2.51,40.22,-9.65
20-12-11 06:07:46,,,,2.47,40.20,-9.68
20-12-11 06:09:46,,,,2.51,39.97,-9.73
20-12-11 06:11:46,,,,2.50,39.79,-9.79
20-12-11 06:13:46,,,,2.44,39.85,-9.82
20-12-11 06:15:46,,,,2.43,39.87,-9.83
20-12-11 06:17:46,,,,2.44,39.85,-9.82
20-12-11 06:19:46,,,,2.44,39.81,-9.84
20-12-11 06:21:46,,,,2.43,40.01,-9.78
20-12-11 06:23:46,,,,2.43,39.98,-9.79
20-12-11 06:25:46,,,,2.42,40.09,-9.77
20-12-11 06:27:46,,,,2.39,40.01,-9.82
20-12-11 06:29:46,,,,2.37,39.91,-9.87
20-12-11 06:31:46,,,,2.38,40.91,-9.55
20-12-11 06:33:46,,,,2.37,42.07,-9.20
20-12-11 06:35:46,,,,2.35,41.63,-9.36
20-12-11 06:37:46,,,,2.34,41.26,-9.48
20-12-11 06:39:46,,,,2.32,41.44,-9.43
20-12-11 06:41:46,,,,2.31,41.05,-9.56
20-12-11 06:43:46,,,,2.32,40.88,-9.61
20-12-11 06:45:46,,,,2.34,40.72,-9.65
20-12-11 06:47:46,,,,2.29,40.29,-9.82
20-12-11 06:49:46,,,,2.31,40.33,-9.79
20-12-11 06:51:46,,,,2.27,40.26,-9.85
20-12-11 06:53:46,,,,2.25,40.44,-9.81
20-12-11 06:55:46,,,,2.25,40.54,-9.78
20-12-11 06:57:46,,,,2.24,40.28,-9.87
20-12-11 06:59:46,,,,2.20,40.26,-9.92
20-12-11 07:01:46,,,,2.19,40.22,-9.94
20-12-11 07:03:46,,,,2.16,40.13,-9.99
20-12-11 07:05:46,,,,2.17,40.12,-9.98
20-12-11 07:07:46,,,,2.14,40.12,-10.01
20-12-11 07:09:46,,,,2.17,39.88,-10.05
20-12-11 07:11:46,,,,2.15,40.01,-10.04
20-12-11 07:13:46,,,,2.13,39.98,-10.06
20-12-11 07:15:46,,,,2.15,40.09,-10.01
20-12-11 07:17:46,,,,2.13,40.17,-10.00
20-12-11 07:19:46,,,,2.15,40.34,-9.93
20-12-11 07:21:46,,,,2.11,40.20,-10.01
20-12-11 07:23:46,,,,2.12,40.00,-10.07
20-12-11 07:25:46,,,,2.11,39.85,-10.12
20-12-11 07:27:46,,,,2.13,39.79,-10.12
20-12-11 07:29:46,,,,2.15,39.94,-10.06
20-12-11 07:31:46,,,,2.13,39.99,-10.06
20-12-11 07:33:46,,,,2.12,39.88,-10.10
20-12-11 07:35:46,,,,2.15,39.94,-10.05
20-12-11 07:37:46,,,,2.11,39.97,-10.09
20-12-11 07:39:46,,,,2.11,39.88,-10.11
20-12-11 07:41:46,,,,2.13,39.87,-10.10
20-12-11 07:43:46,,,,2.10,39.97,-10.10
20-12-11 07:45:46,,,,2.11,40.31,-9.98
20-12-11 07:47:46,,,,2.12,41.15,-9.71
20-12-11 07:49:46,,,,2.13,40.53,-9.89
20-12-11 07:51:46,,,,2.11,40.10,-10.04
20-12-11 07:53:46,,,,2.15,40.24,-9.96
20-12-11 07:55:46,,,,2.12,40.32,-9.97
20-12-11 07:57:46,,,,2.11,40.09,-10.05
20-12-11 07:59:46,,,,2.10,40.04,-10.07
20-12-11 08:01:46,,,,2.11,40.80,-9.83
20-12-11 08:03:46,,,,2.15,40.89,-9.76
20-12-11 08:05:46,,,,2.13,42.19,-9.38
20-12-11 08:07:46,,,,2.13,42.25,-9.36
20-12-11 08:09:46,,,,2.15,42.43,-9.29
20-12-11 08:11:46,,,,2.15,42.27,-9.34
20-12-11 08:13:46,,,,2.22,42.08,-9.34
20-12-11 08:15:46,,,,2.19,42.37,-9.28
20-12-11 08:17:46,,,,2.25,42.27,-9.25
20-12-11 08:19:46,,,,2.27,41.32,-9.52
20-12-11 08:21:46,,,,2.34,41.17,-9.51
20-12-11 08:23:46,,,,2.37,41.82,-9.28
20-12-11 08:25:46,,,,2.41,41.34,-9.39
20-12-11 08:27:46,,,,2.43,44.23,-8.51
20-12-11 08:29:46,,,,2.56,43.13,-8.71
20-12-11 08:31:46,,,,2.62,42.55,-8.83
20-12-11 08:33:46,,,,2.69,42.94,-8.65
20-12-11 08:35:46,,,,2.79,42.76,-8.62
20-12-11 08:37:46,,,,2.89,42.07,-8.73
20-12-11 08:39:46,,,,3.08,42.00,-8.58
20-12-11 08:41:46,,,,3.18,41.95,-8.50
20-12-11 08:43:46,,,,3.35,41.77,-8.40
20-12-11 08:45:46,,,,3.48,41.48,-8.37
20-12-11 08:47:46,,,,3.62,41.46,-8.25
20-12-11 08:49:46,,,,3.79,41.51,-8.08
20-12-11 08:51:46,,,,3.98,40.84,-8.13
20-12-11 08:53:46,,,,4.13,40.03,-8.25
20-12-11 08:55:46,,,,4.29,40.25,-8.03
20-12-11 08:57:46,,,,4.39,39.65,-8.13
20-12-11 08:59:46,,,,4.53,39.41,-8.08
20-12-11 09:01:46,,,,4.64,39.44,-7.97
20-12-11 09:03:46,,,,4.78,39.44,-7.85
20-12-11 09:05:46,,,,4.90,39.40,-7.76
20-12-11 09:07:46,,,,5.02,38.52,-7.94
20-12-11 09:09:46,,,,5.13,38.51,-7.84
20-12-11 09:11:46,,,,5.20,38.06,-7.93
20-12-11 09:13:46,,,,5.26,37.84,-7.95
20-12-11 09:15:46,,,,5.36,37.60,-7.94
20-12-11 09:17:46,,,,5.40,37.39,-7.98
20-12-11 09:19:46,,,,5.52,37.53,-7.82
20-12-11 09:21:46,,,,5.56,36.85,-8.02
20-12-11 09:23:46,,,,5.68,36.41,-8.07
20-12-11 09:25:46,,,,5.74,36.11,-8.13
20-12-11 09:27:46,,,,5.83,36.02,-8.08
20-12-11 09:29:46,,,,5.89,35.84,-8.09
20-12-11 09:31:46,,,,5.94,35.65,-8.11
20-12-11 09:33:46,,,,6.01,35.39,-8.14
20-12-11 09:35:46,,,,6.07,35.17,-8.17
20-12-11 09:37:46,,,,6.16,35.08,-8.12
20-12-11 09:39:46,,,,6.17,35.56,-7.94
20-12-11 09:41:46,,,,6.24,35.46,-7.91
20-12-11 09:43:46,,,,6.27,35.48,-7.88
20-12-11 09:45:46,,,,6.35,36.56,-7.42
20-12-11 09:47:46,,,,6.39,35.61,-7.72
20-12-11 09:49:46,,,,6.42,35.64,-7.69
20-12-11 09:51:46,,,,6.48,35.37,-7.74
20-12-11 09:53:46,,,,6.52,35.25,-7.74
20-12-11 09:55:46,,,,6.54,35.11,-7.78
20-12-11 09:57:46,,,,6.55,35.06,-7.78
20-12-11 09:59:46,,,,6.61,34.98,-7.75
20-12-11 10:01:46,,,,6.59,35.10,-7.73
20-12-11 10:03:46,,,,6.66,35.22,-7.63
20-12-11 10:05:46,,,,6.70,35.65,-7.43
20-12-11 10:07:46,,,,6.69,36.02,-7.31
20-12-11 10:09:46,,,,6.65,35.34,-7.59
20-12-11 10:11:46,,,,6.63,35.35,-7.61
20-12-11 10:13:46,,,,6.42,32.82,-8.74
20-12-11 10:15:46,,,,5.87,33.22,-9.07
20-12-11 10:17:46,,,,5.28,33.95,-9.31
20-12-11 10:19:46,,,,4.32,35.01,-9.78
20-12-11 10:21:46,,,,3.21,38.11,-9.70
20-12-11 10:23:46,,,,2.69,41.39,-9.12
20-12-11 10:25:46,,,,2.29,47.47,-7.73
20-12-11 10:27:46,,,,2.06,48.97,-7.54
20-12-11 10:29:46,,,,1.88,53.02,-6.67
20-12-11 10:31:46,,,,1.71,50.35,-7.50
20-12-11 10:33:46,,,,1.65,48.22,-8.12
20-12-11 10:35:46,,,,1.57,48.46,-8.12
20-12-11 10:37:46,,,,1.50,42.13,-9.97
20-12-11 10:39:46,,,,1.39,42.69,-9.90
20-12-11 10:41:46,,,,1.33,43.23,-9.81
20-12-11 10:43:46,,,,1.29,44.85,-9.37
20-12-11 10:45:46,,,,1.27,46.73,-8.86
20-12-11 10:47:46,,,,1.29,47.11,-8.74
20-12-11 10:49:46,,,,1.31,44.52,-9.45
20-12-11 10:51:46,,,,1.35,44.95,-9.29
20-12-11 10:53:46,,,,1.43,46.03,-8.91
20-12-11 10:55:46,,,,1.49,46.12,-8.84
20-12-11 10:57:46,,,,1.58,44.39,-9.23
20-12-11 10:59:46,,,,1.64,46.49,-8.59
20-12-11 11:01:46,,,,1.76,47.60,-8.18
20-12-11 11:03:46,,,,1.83,49.62,-7.58
